"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2024-03-26","09:13:28","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-03-26","04:13:28",""
"2024-03-26","09:14:01","Западный Казахстан","QR Code","Декскаймер Максим Сергеевич (CS-202)","","0","2024-03-26","04:14:01","{""ec"":""L""}"
"2024-03-26","09:14:10","Западный Казахстан","QR Code","Fajobi Michael (CS-202)","","0","2024-03-26","04:14:10",""
"2024-03-26","09:14:24","Западный Казахстан","QR Code","Бейсенов Амир Маратович (CS - 202)","","0","2024-03-26","04:14:24","{""ec"":""L""}"
"2024-03-26","09:14:27","Западный Казахстан","QR Code","Тукаев Фархат Газинурович (CS-202)","","0","2024-03-26","04:14:27",""
"2024-03-26","09:14:40","Западный Казахстан","QR Code","Мусин Даниял Канатович (CS-202)","","0","2024-03-26","04:14:40",""
"2024-03-26","09:14:43","Западный Казахстан","QR Code","Сорочинский Максим Евгеньевич (CS-202)","","0","2024-03-26","04:14:43","{""ec"":""L""}"
"2024-03-26","09:14:45","Западный Казахстан","QR Code","Аубакиров Мади Уланович (CS-202)","","0","2024-03-26","04:14:45",""
"2024-03-26","09:14:48","Западный Казахстан","QR Code","Абиев Арын Ондарбекавич (CS-202)","","0","2024-03-26","04:14:48","{""ec"":""L""}"
"2024-03-26","09:14:51","Западный Казахстан","QR Code","Малимон Никита Сергеевич (CS-202)","","0","2024-03-26","04:14:51",""
"2024-03-26","09:15:08","Западный Казахстан","QR Code","Muhammad Mustapha (CS-202)","","0","2024-03-26","04:15:08",""
"2024-03-26","09:34:08","Западный Казахстан","QR Code","Шарипов Ислам Садибекович (CS-202)","","0","2024-03-26","04:34:08","{""ec"":""M""}"
"2024-03-26","09:35:00","Западный Казахстан","QR Code","Перевозчиков Владислав Юрьевич (CS-202)","","0","2024-03-26","04:35:00",""
"2024-03-26","09:59:59","Западный Казахстан","QR Code","Капенов Уалихан Талгатович (CS-202)
","","0","2024-03-26","04:59:59",""
"2024-03-27","14:16:48","Западный Казахстан","QR Code","*** Разработка мобильных приложений (2 семестр)","","0","2024-03-27","09:16:48",""
"2024-03-27","14:17:17","Западный Казахстан","QR Code","Рогачевских Богдан Роланович (CS-304)","","0","2024-03-27","09:17:17",""
"2024-03-27","14:17:19","Западный Казахстан","QR Code","Азанбаев Арыстан Жанатович (CS-302)","","0","2024-03-27","09:17:19",""
"2024-03-27","14:17:51","Западный Казахстан","QR Code","Тургазы Мади ( CS - 304 )","","0","2024-03-27","09:17:51","{""ec"":""M""}"
"2024-03-27","15:00:20","Западный Казахстан","QR Code","Глушак Александр Александрович (CS-302)","","0","2024-03-27","10:00:20","{""ec"":""L""}"
"2024-03-29","08:17:41","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-03-29","03:17:41",""
"2024-03-29","08:18:03","Западный Казахстан","QR Code","Герасимов Александр Владимирович  (CS-204)","","0","2024-03-29","03:18:03","{""ec"":""L""}"
"2024-03-29","08:18:08","Западный Казахстан","QR Code","Асенов Жанибек Рымбекович (CS-204)","","0","2024-03-29","03:18:08","{""ec"":""M""}"
"2024-03-29","08:18:13","Западный Казахстан","QR Code","Сутжанова Асем Канатовна (CS-204)","","0","2024-03-29","03:18:13",""
"2024-03-29","08:18:20","Западный Казахстан","QR Code","Шакрат Батырхан Талғатұлы (CS-204)","","0","2024-03-29","03:18:20",""
"2024-03-29","08:18:24","Западный Казахстан","QR Code","Кайдаров Самат Еренгайбович (CS-204)","","0","2024-03-29","03:18:24",""
"2024-03-29","08:18:30","Западный Казахстан","QR Code","Шакиров Арсен Тулегенович (CS-204)","","0","2024-03-29","03:18:30",""
"2024-03-29","08:18:35","Западный Казахстан","QR Code","Есалимов Карим Кайратович (CS-204)","","0","2024-03-29","03:18:35","{""ec"":""M""}"
"2024-03-29","11:24:54","Западный Казахстан","QR Code","*** Разработка мобильных приложений (2 семестр)","","0","2024-03-29","06:24:54",""
"2024-03-29","11:25:06","Западный Казахстан","QR Code","Рогачевских Богдан Роланович (CS-304)","","0","2024-03-29","06:25:06",""
"2024-03-29","11:25:08","Западный Казахстан","QR Code","Глушак Александр Александрович (CS-302)","","0","2024-03-29","06:25:08","{""ec"":""L""}"
"2024-03-29","11:25:36","Западный Казахстан","QR Code","Азанбаев Арыстан Жанатович (CS-302)","","0","2024-03-29","06:25:36","{""ec"":""L""}"
"2024-04-01","11:19:34","Западный Казахстан","QR Code","*** Технология программирования  CS-202, CS-204","","0","2024-04-01","06:19:34",""
"2024-04-01","11:19:43","Западный Казахстан","QR Code","Тяжелова Ксения Витальевна (CS-204)","","0","2024-04-01","06:19:43",""
"2024-04-01","11:19:46","Западный Казахстан","QR Code","Кайдаров Самат Еренгайбович (CS-204)","","0","2024-04-01","06:19:46",""
"2024-04-01","11:19:48","Западный Казахстан","QR Code","Шлехт Никита Андреевич (CS-204)","","0","2024-04-01","06:19:48",""
"2024-04-01","11:19:54","Западный Казахстан","QR Code","Герасимов Александр Владимирович  (CS-204)","","0","2024-04-01","06:19:54",""
